Fecha,Hito,Tipo,TipoCodigo
10/31/2013,Liquidación Izzi,Exit,5
11/01/2013,Desempleo,Desempleo,3
11/02/2013,Desempleo,Desempleo,3
11/03/2013,Desempleo,Desempleo,3
11/04/2013,Desempleo,Desempleo,3
11/05/2013,Desempleo,Desempleo,3
11/06/2013,Desempleo,Desempleo,3
11/07/2013,Desempleo,Desempleo,3
11/08/2013,Desempleo,Desempleo,3
11/09/2013,Desempleo,Desempleo,3
11/10/2013,Desempleo,Desempleo,3
11/11/2013,Desempleo,Desempleo,3
11/12/2013,Desempleo,Desempleo,3
11/13/2013,Desempleo,Desempleo,3
11/14/2013,Desempleo,Desempleo,3
11/15/2013,Desempleo,Desempleo,3
11/16/2013,Desempleo,Desempleo,3
11/17/2013,Desempleo,Desempleo,3
11/18/2013,Desempleo,Desempleo,3
11/19/2013,Desempleo,Desempleo,3
11/20/2013,Desempleo,Desempleo,3
11/21/2013,Desempleo,Desempleo,3
11/22/2013,Desempleo,Desempleo,3
11/23/2013,Desempleo,Desempleo,3
11/24/2013,Desempleo,Desempleo,3
11/25/2013,Desempleo,Desempleo,3
11/26/2013,Desempleo,Desempleo,3
11/27/2013,Desempleo,Desempleo,3
11/28/2013,Desempleo,Desempleo,3
11/29/2013,Desempleo,Desempleo,3
11/30/2013,Desempleo,Desempleo,3
12/01/2013,Desempleo,Desempleo,3
12/02/2013,Desempleo,Desempleo,3
12/03/2013,Desempleo,Desempleo,3
12/04/2013,Desempleo,Desempleo,3
12/05/2013,Desempleo,Desempleo,3
12/06/2013,Desempleo,Desempleo,3
12/07/2013,Desempleo,Desempleo,3
12/08/2013,Desempleo,Desempleo,3
12/09/2013,Desempleo,Desempleo,3
12/10/2013,Desempleo,Desempleo,3
12/11/2013,Desempleo,Desempleo,3
12/12/2013,Desempleo,Desempleo,3
12/13/2013,Desempleo,Desempleo,3
12/14/2013,Desempleo,Desempleo,3
12/15/2013,Desempleo,Desempleo,3
12/16/2013,Desempleo,Desempleo,3
12/17/2013,Desempleo,Desempleo,3
12/18/2013,Desempleo,Desempleo,3
12/19/2013,Desempleo,Desempleo,3
12/20/2013,Desempleo,Desempleo,3
12/21/2013,Desempleo,Desempleo,3
12/22/2013,Desempleo,Desempleo,3
12/23/2013,Desempleo,Desempleo,3
12/24/2013,Desempleo,Desempleo,3
12/25/2013,Desempleo,Desempleo,3
12/26/2013,Desempleo,Desempleo,3
12/27/2013,Desempleo,Desempleo,3
12/28/2013,Desempleo,Desempleo,3
12/29/2013,Desempleo,Desempleo,3
12/30/2013,Desempleo,Desempleo,3
12/31/2013,Desempleo,Desempleo,3
01/01/2014,Desempleo,Desempleo,3
01/02/2014,Desempleo,Desempleo,3
01/03/2014,Desempleo,Desempleo,3
01/04/2014,Desempleo,Desempleo,3
01/05/2014,Desempleo,Desempleo,3
01/06/2014,Desempleo,Desempleo,3
01/07/2014,Desempleo,Desempleo,3
01/08/2014,Desempleo,Desempleo,3
01/09/2014,Desempleo,Desempleo,3
01/10/2014,Desempleo,Desempleo,3
01/11/2014,Desempleo,Desempleo,3
01/12/2014,Desempleo,Desempleo,3
1/13/2014,Desempleo,Desempleo,3
1/14/2014,Desempleo,Desempleo,3
1/15/2014,Desempleo,Desempleo,3
1/16/2014,Desempleo,Desempleo,3
1/17/2014,Desempleo,Desempleo,3
1/18/2014,Desempleo,Desempleo,3
1/19/2014,Desempleo,Desempleo,3
1/20/2014,Desempleo,Desempleo,3
1/21/2014,Desempleo,Desempleo,3
1/22/2014,Desempleo,Desempleo,3
1/23/2014,Desempleo,Desempleo,3
1/24/2014,Desempleo,Desempleo,3
1/25/2014,Desempleo,Desempleo,3
1/26/2014,Desempleo,Desempleo,3
1/27/2014,Desempleo,Desempleo,3
1/28/2014,Desempleo,Desempleo,3
1/29/2014,Desempleo,Desempleo,3
1/30/2014,Desempleo,Desempleo,3
1/31/2014,Desempleo,Desempleo,3
02/01/2014,Desempleo,Desempleo,3
02/02/2014,Desempleo,Desempleo,3
02/03/2014,Desempleo,Desempleo,3
02/04/2014,Desempleo,Desempleo,3
02/05/2014,Desempleo,Desempleo,3
02/06/2014,Desempleo,Desempleo,3
02/07/2014,Desempleo,Desempleo,3
02/08/2014,Desempleo,Desempleo,3
02/09/2014,Desempleo,Desempleo,3
02/10/2014,Desempleo,Desempleo,3
02/11/2014,Desempleo,Desempleo,3
02/12/2014,Desempleo,Desempleo,3
2/13/2014,Desempleo,Desempleo,3
2/14/2014,Desempleo,Desempleo,3
2/15/2014,Desempleo,Desempleo,3
2/16/2014,Desempleo,Desempleo,3
2/17/2014,Desempleo,Desempleo,3
2/18/2014,Desempleo,Desempleo,3
2/19/2014,Desempleo,Desempleo,3
2/20/2014,Desempleo,Desempleo,3
2/21/2014,Desempleo,Desempleo,3
2/22/2014,Desempleo,Desempleo,3
2/23/2014,Desempleo,Desempleo,3
2/24/2014,Desempleo,Desempleo,3
2/25/2014,Desempleo,Desempleo,3
2/26/2014,Desempleo,Desempleo,3
2/27/2014,Desempleo,Desempleo,3
2/28/2014,Desempleo,Desempleo,3
03/01/2014,Desempleo,Desempleo,3
03/02/2014,Desempleo,Desempleo,3
03/03/2014,Desempleo,Desempleo,3
03/04/2014,Desempleo,Desempleo,3
03/05/2014,Desempleo,Desempleo,3
03/06/2014,Desempleo,Desempleo,3
03/07/2014,Desempleo,Desempleo,3
03/08/2014,Desempleo,Desempleo,3
03/09/2014,Desempleo,Desempleo,3
03/10/2014,Desempleo,Desempleo,3
03/11/2014,Desempleo,Desempleo,3
03/12/2014,Desempleo,Desempleo,3
3/13/2014,Desempleo,Desempleo,3
3/14/2014,Desempleo,Desempleo,3
3/15/2014,Desempleo,Desempleo,3
3/16/2014,Desempleo,Desempleo,3
3/17/2014,Desempleo,Desempleo,3
3/18/2014,Desempleo,Desempleo,3
3/19/2014,Desempleo,Desempleo,3
3/20/2014,Desempleo,Desempleo,3
3/21/2014,Desempleo,Desempleo,3
3/22/2014,Desempleo,Desempleo,3
3/23/2014,Desempleo,Desempleo,3
3/24/2014,Desempleo,Desempleo,3
3/25/2014,Desempleo,Desempleo,3
3/26/2014,Desempleo,Desempleo,3
3/27/2014,Desempleo,Desempleo,3
3/28/2014,Desempleo,Desempleo,3
3/29/2014,Desempleo,Desempleo,3
3/30/2014,Desempleo,Desempleo,3
3/31/2014,Desempleo,Desempleo,3
04/01/2014,Credit Suisse,Día Clave,2
04/02/2014,,,1
04/03/2014,,,1
04/04/2014,,,1
04/05/2014,,,1
04/06/2014,,,1
04/07/2014,,,1
04/08/2014,,,1
04/09/2014,,,1
04/10/2014,,,1
04/11/2014,,,1
04/12/2014,,,1
4/13/2014,,,1
4/14/2014,,,1
4/15/2014,,,1
4/16/2014,,,1
4/17/2014,,,1
4/18/2014,,,1
4/19/2014,,,1
4/20/2014,,,1
4/21/2014,,,1
4/22/2014,,,1
4/23/2014,,,1
4/24/2014,,,1
4/25/2014,,,1
4/26/2014,,,1
4/27/2014,,,1
4/28/2014,,,1
4/29/2014,,,1
4/30/2014,,,1
05/01/2014,,,1
05/02/2014,,,1
05/03/2014,,,1
05/04/2014,,,1
05/05/2014,,,1
05/06/2014,,,1
05/07/2014,,,1
05/08/2014,,,1
05/09/2014,,,1
05/10/2014,,,1
05/11/2014,,,1
05/12/2014,,,1
5/13/2014,,,1
5/14/2014,,,1
5/15/2014,,,1
5/16/2014,,,1
5/17/2014,,,1
5/18/2014,,,1
5/19/2014,,,1
5/20/2014,,,1
5/21/2014,,,1
5/22/2014,,,1
5/23/2014,,,1
5/24/2014,,,1
5/25/2014,,,1
5/26/2014,,,1
5/27/2014,,,1
5/28/2014,,,1
5/29/2014,,,1
5/30/2014,,,1
5/31/2014,,,1
06/01/2014,,,1
06/02/2014,,,1
06/03/2014,,,1
06/04/2014,,,1
06/05/2014,,,1
06/06/2014,,,1
06/07/2014,,,1
06/08/2014,,,1
06/09/2014,,,1
06/10/2014,,,1
06/11/2014,,,1
06/12/2014,,,1
6/13/2014,,,1
6/14/2014,,,1
6/15/2014,,,1
6/16/2014,,,1
6/17/2014,,,1
6/18/2014,,,1
6/19/2014,,,1
6/20/2014,,,1
6/21/2014,,,1
6/22/2014,,,1
6/23/2014,,,1
6/24/2014,,,1
6/25/2014,,,1
6/26/2014,,,1
6/27/2014,,,1
6/28/2014,,,1
6/29/2014,,,1
6/30/2014,,,1
07/01/2014,,,1
07/02/2014,,,1
07/03/2014,,,1
07/04/2014,,,1
07/05/2014,,,1
07/06/2014,,,1
07/07/2014,,,1
07/08/2014,,,1
07/09/2014,,,1
07/10/2014,,,1
07/11/2014,,,1
07/12/2014,,,1
7/13/2014,,,1
7/14/2014,,,1
7/15/2014,,,1
7/16/2014,,,1
7/17/2014,,,1
7/18/2014,,,1
7/19/2014,,,1
7/20/2014,,,1
7/21/2014,,,1
7/22/2014,,,1
7/23/2014,,,1
7/24/2014,,,1
7/25/2014,,,1
7/26/2014,,,1
7/27/2014,,,1
7/28/2014,,,1
7/29/2014,,,1
7/30/2014,,,1
7/31/2014,,,1
08/01/2014,,,1
08/02/2014,,,1
08/03/2014,,,1
08/04/2014,,,1
08/05/2014,,,1
08/06/2014,,,1
08/07/2014,,,1
08/08/2014,,,1
08/09/2014,,,1
08/10/2014,,,1
08/11/2014,,,1
08/12/2014,,,1
8/13/2014,,,1
8/14/2014,,,1
8/15/2014,,,1
8/16/2014,,,1
8/17/2014,,,1
8/18/2014,,,1
8/19/2014,,,1
8/20/2014,,,1
8/21/2014,,,1
8/22/2014,,,1
8/23/2014,,,1
8/24/2014,,,1
8/25/2014,,,1
8/26/2014,,,1
8/27/2014,,,1
8/28/2014,,,1
8/29/2014,,,1
8/30/2014,,,1
8/31/2014,,,1
09/01/2014,,,1
09/02/2014,,,1
09/03/2014,,,1
09/04/2014,,,1
09/05/2014,,,1
09/06/2014,,,1
09/07/2014,,,1
09/08/2014,,,1
09/09/2014,,,1
09/10/2014,,,1
09/11/2014,,,1
09/12/2014,,,1
9/13/2014,,,1
9/14/2014,,,1
9/15/2014,,,1
9/16/2014,,,1
9/17/2014,,,1
9/18/2014,,,1
9/19/2014,,,1
9/20/2014,,,1
9/21/2014,,,1
9/22/2014,,,1
9/23/2014,,,1
9/24/2014,,,1
9/25/2014,,,1
9/26/2014,,,1
9/27/2014,,,1
9/28/2014,,,1
9/29/2014,,,1
9/30/2014,,,1
10/01/2014,,,1
10/02/2014,,,1
10/03/2014,,,1
10/04/2014,,,1
10/05/2014,,,1
10/06/2014,,,1
10/07/2014,,,1
10/08/2014,,,1
10/09/2014,,,1
10/10/2014,,,1
10/11/2014,,,1
10/12/2014,,,1
10/13/2014,,,1
10/14/2014,,,1
10/15/2014,,,1
10/16/2014,,,1
10/17/2014,,,1
10/18/2014,,,1
10/19/2014,,,1
10/20/2014,,,1
10/21/2014,,,1
10/22/2014,,,1
10/23/2014,,,1
10/24/2014,,,1
10/25/2014,,,1
10/26/2014,,,1
10/27/2014,,,1
10/28/2014,,,1
10/29/2014,,,1
10/30/2014,,,1
10/31/2014,,,1
11/01/2014,,,1
11/02/2014,,,1
11/03/2014,,,1
11/04/2014,,,1
11/05/2014,,,1
11/06/2014,,,1
11/07/2014,,,1
11/08/2014,,,1
11/09/2014,,,1
11/10/2014,,,1
11/11/2014,,,1
11/12/2014,,,1
11/13/2014,,,1
11/14/2014,,,1
11/15/2014,,,1
11/16/2014,,,1
11/17/2014,,,1
11/18/2014,,,1
11/19/2014,,,1
11/20/2014,,,1
11/21/2014,,,1
11/22/2014,,,1
11/23/2014,,,1
11/24/2014,,,1
11/25/2014,,,1
11/26/2014,,,1
11/27/2014,,,1
11/28/2014,,,1
11/29/2014,,,1
11/30/2014,,,1
12/01/2014,,,1
12/02/2014,,,1
12/03/2014,,,1
12/04/2014,,,1
12/05/2014,,,1
12/06/2014,,,1
12/07/2014,,,1
12/08/2014,,,1
12/09/2014,,,1
12/10/2014,,,1
12/11/2014,,,1
12/12/2014,,,1
12/13/2014,,,1
12/14/2014,,,1
12/15/2014,Anuncio Salida,Exit,5
12/16/2014,Credit Suisse,Desempleo,3
12/17/2014,Credit Suisse,Desempleo,3
12/18/2014,Credit Suisse,Desempleo,3
12/19/2014,Credit Suisse,Desempleo,3
12/20/2014,Credit Suisse,Desempleo,3
12/21/2014,Credit Suisse,Desempleo,3
12/22/2014,Credit Suisse,Desempleo,3
12/23/2014,Credit Suisse,Desempleo,3
12/24/2014,Credit Suisse,Desempleo,3
12/25/2014,Credit Suisse,Desempleo,3
12/26/2014,Credit Suisse,Desempleo,3
12/27/2014,Credit Suisse,Desempleo,3
12/28/2014,Credit Suisse,Desempleo,3
12/29/2014,Credit Suisse,Desempleo,3
12/30/2014,Credit Suisse,Desempleo,3
12/31/2014,Credit Suisse,Desempleo,3
01/01/2015,Credit Suisse,Desempleo,3
01/02/2015,Credit Suisse,Desempleo,3
01/03/2015,Credit Suisse,Desempleo,3
01/04/2015,Credit Suisse,Desempleo,3
01/05/2015,Credit Suisse,Desempleo,3
01/06/2015,Credit Suisse,Desempleo,3
01/07/2015,Credit Suisse,Desempleo,3
01/08/2015,Credit Suisse,Desempleo,3
01/09/2015,Credit Suisse,Desempleo,3
01/10/2015,Credit Suisse,Desempleo,3
01/11/2015,Credit Suisse,Desempleo,3
01/12/2015,Credit Suisse,Desempleo,3
1/13/2015,Credit Suisse,Desempleo,3
1/14/2015,Credit Suisse,Desempleo,3
1/15/2015,Credit Suisse,Desempleo,3
1/16/2015,Credit Suisse,Desempleo,3
1/17/2015,Credit Suisse,Desempleo,3
1/18/2015,Credit Suisse,Desempleo,3
1/19/2015,Entrada a Globant,Día Clave,2
1/20/2015,,,1
1/21/2015,,,1
1/22/2015,,,1
1/23/2015,,,1
1/24/2015,,,1
1/25/2015,,,1
1/26/2015,,,1
1/27/2015,,,1
1/28/2015,,,1
1/29/2015,,,1
1/30/2015,,,1
1/31/2015,,,1
02/01/2015,,,1
02/02/2015,,,1
02/03/2015,,,1
02/04/2015,,,1
02/05/2015,,,1
02/06/2015,,,1
02/07/2015,,,1
02/08/2015,,,1
02/09/2015,,,1
02/10/2015,,,1
02/11/2015,,,1
02/12/2015,,,1
2/13/2015,,,1
2/14/2015,,,1
2/15/2015,,,1
2/16/2015,,,1
2/17/2015,,,1
2/18/2015,,,1
2/19/2015,,,1
2/20/2015,,,1
2/21/2015,,,1
2/22/2015,,,1
2/23/2015,,,1
2/24/2015,,,1
2/25/2015,,,1
2/26/2015,,,1
2/27/2015,,,1
2/28/2015,,,1
03/01/2015,,,1
03/02/2015,,,1
03/03/2015,,,1
03/04/2015,,,1
03/05/2015,,,1
03/06/2015,,,1
03/07/2015,,,1
03/08/2015,,,1
03/09/2015,,,1
03/10/2015,,,1
03/11/2015,,,1
03/12/2015,,,1
3/13/2015,,,1
3/14/2015,,,1
3/15/2015,,,1
3/16/2015,,,1
3/17/2015,,,1
3/18/2015,,,1
3/19/2015,,,1
3/20/2015,,,1
3/21/2015,,,1
3/22/2015,,,1
3/23/2015,,,1
3/24/2015,,,1
3/25/2015,,,1
3/26/2015,,,1
3/27/2015,,,1
3/28/2015,,,1
3/29/2015,,,1
3/30/2015,,,1
3/31/2015,,,1
04/01/2015,,,1
04/02/2015,,,1
04/03/2015,,,1
04/04/2015,,,1
04/05/2015,,,1
04/06/2015,,,1
04/07/2015,,,1
04/08/2015,,,1
04/09/2015,,,1
04/10/2015,,,1
04/11/2015,,,1
04/12/2015,,,1
4/13/2015,,,1
4/14/2015,,,1
4/15/2015,,,1
4/16/2015,,,1
4/17/2015,,,1
4/18/2015,,,1
4/19/2015,,,1
4/20/2015,,,1
4/21/2015,,,1
4/22/2015,,,1
4/23/2015,,,1
4/24/2015,,,1
4/25/2015,,,1
4/26/2015,,,1
4/27/2015,,,1
4/28/2015,,,1
4/29/2015,,,1
4/30/2015,,,1
05/01/2015,,,1
05/02/2015,,,1
05/03/2015,,,1
05/04/2015,,,1
05/05/2015,,,1
05/06/2015,,,1
05/07/2015,,,1
05/08/2015,,,1
05/09/2015,,,1
05/10/2015,,,1
05/11/2015,,,1
05/12/2015,,,1
5/13/2015,,,1
5/14/2015,,,1
5/15/2015,,,1
5/16/2015,,,1
5/17/2015,,,1
5/18/2015,,,1
5/19/2015,,,1
5/20/2015,,,1
5/21/2015,,,1
5/22/2015,,,1
5/23/2015,,,1
5/24/2015,,,1
5/25/2015,,,1
5/26/2015,,,1
5/27/2015,,,1
5/28/2015,,,1
5/29/2015,,,1
5/30/2015,,,1
5/31/2015,,,1
06/01/2015,,,1
06/02/2015,,,1
06/03/2015,,,1
06/04/2015,,,1
06/05/2015,,,1
06/06/2015,,,1
06/07/2015,,,1
06/08/2015,,,1
06/09/2015,,,1
06/10/2015,,,1
06/11/2015,,,1
06/12/2015,,,1
6/13/2015,,,1
6/14/2015,,,1
6/15/2015,,,1
6/16/2015,,,1
6/17/2015,,,1
6/18/2015,,,1
6/19/2015,,,1
6/20/2015,,,1
6/21/2015,,,1
6/22/2015,,,1
6/23/2015,,,1
6/24/2015,,,1
6/25/2015,,,1
6/26/2015,,,1
6/27/2015,,,1
6/28/2015,,,1
6/29/2015,,,1
6/30/2015,,,1
07/01/2015,,,1
07/02/2015,,,1
07/03/2015,,,1
07/04/2015,,,1
07/05/2015,,,1
07/06/2015,,,1
07/07/2015,,,1
07/08/2015,,,1
07/09/2015,,,1
07/10/2015,,,1
07/11/2015,,,1
07/12/2015,,,1
7/13/2015,,,1
7/14/2015,,,1
7/15/2015,,,1
7/16/2015,,,1
7/17/2015,,,1
7/18/2015,,,1
7/19/2015,,,1
7/20/2015,,,1
7/21/2015,,,1
7/22/2015,,,1
7/23/2015,,,1
7/24/2015,,,1
7/25/2015,,,1
7/26/2015,,,1
7/27/2015,,,1
7/28/2015,,,1
7/29/2015,,,1
7/30/2015,,,1
7/31/2015,,,1
08/01/2015,,,1
08/02/2015,,,1
08/03/2015,,,1
08/04/2015,,,1
08/05/2015,,,1
08/06/2015,,,1
08/07/2015,,,1
08/08/2015,,,1
08/09/2015,,,1
08/10/2015,,,1
08/11/2015,,,1
08/12/2015,,,1
8/13/2015,,,1
8/14/2015,,,1
8/15/2015,,,1
8/16/2015,,,1
8/17/2015,,,1
8/18/2015,,,1
8/19/2015,,,1
8/20/2015,,,1
8/21/2015,,,1
8/22/2015,,,1
8/23/2015,,,1
8/24/2015,,,1
8/25/2015,,,1
8/26/2015,,,1
8/27/2015,,,1
8/28/2015,,,1
8/29/2015,,,1
8/30/2015,,,1
8/31/2015,Venta Banca Privada,Exit,5
09/01/2015,,Desempleo,1
09/02/2015,,Desempleo,1
09/03/2015,,Desempleo,1
09/04/2015,,Desempleo,1
09/05/2015,,Desempleo,1
09/06/2015,,Desempleo,1
09/07/2015,,Desempleo,1
09/08/2015,,Desempleo,1
09/09/2015,,Desempleo,1
09/10/2015,,Desempleo,1
09/11/2015,,Desempleo,1
09/12/2015,,Desempleo,1
9/13/2015,,Desempleo,1
9/14/2015,,Desempleo,1
9/15/2015,,Desempleo,1
9/16/2015,,Desempleo,1
9/17/2015,,Desempleo,1
9/18/2015,,Desempleo,1
9/19/2015,,Desempleo,1
9/20/2015,,Desempleo,1
9/21/2015,,Desempleo,1
9/22/2015,,Desempleo,1
9/23/2015,,Desempleo,1
9/24/2015,,Desempleo,1
9/25/2015,,Desempleo,1
9/26/2015,,Desempleo,1
9/27/2015,,Desempleo,1
9/28/2015,,Desempleo,1
9/29/2015,,Desempleo,1
9/30/2015,,Desempleo,1
10/01/2015,,Desempleo,1
10/02/2015,,Desempleo,1
10/03/2015,,Desempleo,1
10/04/2015,,Desempleo,1
10/05/2015,,Desempleo,1
10/06/2015,,Desempleo,1
10/07/2015,,Desempleo,1
10/08/2015,,Desempleo,1
10/09/2015,,Desempleo,1
10/10/2015,,Desempleo,1
10/11/2015,,Desempleo,1
10/12/2015,,Desempleo,1
10/13/2015,,Desempleo,1
10/14/2015,,Desempleo,1
10/15/2015,,Desempleo,1
10/16/2015,,Desempleo,1
10/17/2015,,Desempleo,1
10/18/2015,,Desempleo,1
10/19/2015,,Desempleo,1
10/20/2015,,Desempleo,1
10/21/2015,,Desempleo,1
10/22/2015,,Desempleo,1
10/23/2015,,Desempleo,1
10/24/2015,,Desempleo,1
10/25/2015,,Desempleo,1
10/26/2015,,Desempleo,1
10/27/2015,,Desempleo,1
10/28/2015,,Desempleo,1
10/29/2015,,Desempleo,1
10/30/2015,,Desempleo,1
10/31/2015,,Desempleo,1
11/01/2015,,Desempleo,1
11/02/2015,,Desempleo,1
